time="2022-02-27T08:07:33+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:1080"
time="2022-02-27T08:07:33+08:00" level=info msg="RESTful API listening at: 127.0.0.1:46321"
time="2022-02-27T09:37:01+08:00" level=info msg="[TCP] 127.0.0.1:34626 --> rr5---sn-o097znse.googlevideo.com:443 using GLOBAL"
time="2022-02-27T09:37:04+08:00" level=info msg="[TCP] 127.0.0.1:34630 --> apis.google.com:443 using GLOBAL"
time="2022-02-27T09:37:04+08:00" level=info msg="[TCP] 127.0.0.1:34632 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:04+08:00" level=info msg="[TCP] 127.0.0.1:34634 --> rr5---sn-ab5l6n6e.googlevideo.com:443 using GLOBAL"
time="2022-02-27T09:37:05+08:00" level=info msg="[TCP] 127.0.0.1:34636 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:05+08:00" level=info msg="[TCP] 127.0.0.1:34638 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:05+08:00" level=info msg="[TCP] 127.0.0.1:34640 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:05+08:00" level=info msg="[TCP] 127.0.0.1:34644 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:05+08:00" level=info msg="[TCP] 127.0.0.1:34642 --> yt4.ggpht.com:443 using GLOBAL"
time="2022-02-27T09:37:09+08:00" level=info msg="[TCP] 127.0.0.1:34646 --> signaler-pa.youtube.com:443 using GLOBAL"
time="2022-02-27T09:37:10+08:00" level=info msg="[TCP] 127.0.0.1:34648 --> signaler-pa.youtube.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34660 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34650 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34652 --> github.com:443 using GLOBAL"
time="2022-02-27T09:37:18+08:00" level=info msg="[TCP] 127.0.0.1:34664 --> github.com:443 using GLOBAL"
